percentile,year,variable_code,value
p0p50,2008,sptinc_z_CH,0.2314
p0p50,2009,sptinc_z_CH,0.2291
p0p50,2010,sptinc_z_CH,0.22
p0p50,2011,sptinc_z_CH,0.2219
p0p50,2012,sptinc_z_CH,0.225
p0p50,2013,sptinc_z_CH,0.2235
p0p50,2014,sptinc_z_CH,0.2239
p0p50,2015,sptinc_z_CH,0.225
p0p50,2016,sptinc_z_CH,0.2235
p0p50,2017,sptinc_z_CH,0.2259
p0p50,2018,sptinc_z_CH,0.2312
p0p50,2019,sptinc_z_CH,0.2331
p0p50,2020,sptinc_z_CH,0.2331
p0p50,2021,sptinc_z_CH,0.2324
p0p50,2022,sptinc_z_CH,0.228
p0p50,2023,sptinc_z_CH,0.2304
p0p50,2024,sptinc_z_CH,0.2304
p99p100,1917,sptinc_z_US-NV,0.0918
p99p100,1918,sptinc_z_US-NV,0.0736
p99p100,1919,sptinc_z_US-NV,0.0745
p99p100,1920,sptinc_z_US-NV,0.062
p99p100,1921,sptinc_z_US-NV,0.0816
p99p100,1922,sptinc_z_US-NV,0.0697
p99p100,1923,sptinc_z_US-NV,0.0669
p99p100,1924,sptinc_z_US-NV,0.0783
p99p100,1925,sptinc_z_US-NV,0.0921
p99p100,1926,sptinc_z_US-NV,0.0937
p99p100,1927,sptinc_z_US-NV,0.1014
p99p100,1928,sptinc_z_US-NV,0.1433
p99p100,1929,sptinc_z_US-NV,0.1348
p99p100,1930,sptinc_z_US-NV,0.1318
p99p100,1931,sptinc_z_US-NV,0.1436
p99p100,1932,sptinc_z_US-NV,0.1084
p99p100,1933,sptinc_z_US-NV,0.1213
p99p100,1934,sptinc_z_US-NV,0.1413
p99p100,1935,sptinc_z_US-NV,0.1716
p99p100,1936,sptinc_z_US-NV,0.1826
p99p100,1937,sptinc_z_US-NV,0.2149
p99p100,1938,sptinc_z_US-NV,0.1709
p99p100,1939,sptinc_z_US-NV,0.1715
p99p100,1940,sptinc_z_US-NV,0.1777
p99p100,1941,sptinc_z_US-NV,0.1623
p99p100,1942,sptinc_z_US-NV,0.1125
p99p100,1943,sptinc_z_US-NV,0.1209
p99p100,1944,sptinc_z_US-NV,0.1125
p99p100,1945,sptinc_z_US-NV,0.1378
p99p100,1946,sptinc_z_US-NV,0.1534
p99p100,1947,sptinc_z_US-NV,0.128
p99p100,1948,sptinc_z_US-NV,0.1293
p99p100,1949,sptinc_z_US-NV,0.1135
